I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION,,
10320,,2015,1,14,5,22,23,10,5.3,,,5.3,,,,6,CHINA,,CHINA:  SICHUAN PROVINCE:  LESHAN,29.353,103.199,30,,,,,11,1,,2,,,2000,4,,,,,11,1,,2,,,2000,4,,
10131,Tsu,2015,2,16,23,6,27,23,6.7,6.7,,,,,,4,JAPAN,,JAPAN:  HONSHU,39.856,142.881,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10135,Tsu,2015,2,19,13,19,21,10,6.4,6.4,,,,,,5,VANUATU,,VANUATU ISLANDS,-16.431,168.148,170,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,
10127,,2015,2,20,22,37,28,10,4.5,,,4.5,,,,,CHINA,,CHINA:  YUNNAN PROVINCE,23.01,101.755,30,,,,,,,,1,,,276,3,,,,,,,,1,,,276,3,,
10126,,2015,2,21,21,21,8,7,3.6,,,,3.6,,,,BOSNIA-HERZEGOVINA,,BALKANS NW:  BOSNIA-HERZEGOVINA:,44.534,18.934,130,4,1,,,1,1,,,,,,,4,1,,,1,1,,,,,,,,
10125,,2015,2,22,6,43,14,12,5.1,,,5.1,,,,,CHINA,,CHINA:  XINJIANG PROVINCE:  SHAWAN,44.133,85.568,40,,,,,,,14.65,3,,,1728,4,,,,,,,14.65,3,,,1728,4,,
10124,,2015,2,26,21,59,14,30,5.4,,,5.4,,,,4,PAKISTAN,,PAKISTAN:  BATTAGRAM,34.671,73.278,60,,,,,5,1,,1,,,2,1,,,,,5,1,,1,,,2,1,,
10321,,2015,2,28,20,10,56,10,4.5,,,,4.5,,,3,PERU,,PERU:  AREQUIPA:  CAYLLOMA:  CABANACONDE,-15.693,-71.934,160,,,,,,,,2,64,2,500,3,,,,,,,,2,64,2,500,3,,
10335,,2015,3,1,10,24,5,11,5.5,,,,5.5,,,,CHINA,,CHINA:   YUNNAN PROVINCE:  CANGYUAN, GENGMA,23.5,98.9,30,,,,,39,1,,3,220,3,15800,4,,,,,39,1,,3,220,3,15800,4,
10137,,2015,3,8,20,47,4,20,4.4,4.4,,,,,,4,SERBIA,,BALKANS NW: SERBIA:  KOSJERIC,44.088,19.861,130,,,,,,,,1,,,100,2,,,,,,,,1,,,100,2,,
10336,,2015,3,10,20,55,2,184,6.2,6.2,,,,,,5,COLOMBIA,,COLOMBIA:  ANTIOQUIA, SANTANDER,6.8,-73.01,160,,,,,,,,3,180,3,2167,4,,,,,,,,3,180,3,2167,4,
10132,,2015,3,14,6,14,38,10,4.6,,,4.6,,,,,CHINA,,CHINA:  ANHUI PROVINCE:  FUYANG,33.15,115.8,30,2,1,,,13,1,,2,155,3,11079,4,2,1,,,13,1,,2,155,3,11079,4,,
10133,Tsu,2015,3,29,23,48,1,41,7.5,7.5,,,,,,6,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-4.729,152.562,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10136,,2015,4,20,1,42,38,29,6.4,6.4,,,,,,4,TAIWAN,,TAIWAN:  TAIPEI,24.203,122.316,30,1,1,,,1,1,,1,,,19,1,1,1,,,1,1,,1,,,19,1,,
10134,,2015,4,25,6,12,35,8,7.8,7.8,,,,,,8,NEPAL,,NEPAL:   KATHMANDU; INDIA; CHINA; BANGLADESH,28.231,84.731,60,8200,4,366,3,17866,4,10000,4,299588,4,269107,4,8200,4,366,3,17866,4,10000,4,299588,4,269107,4,,
10140,Tsu,2015,5,2,16,51,39,10,5.7,5.7,,,,,,,JAPAN,,JAPAN:  HONSHU:  S. OF,31.529,140.213,30,,,,,,,,,,,,,,,,,,,,,,,,,,
10139,Tsu,2015,5,5,1,44,38,55,7.5,7.5,,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-5.462,151.875,170,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,
10141,,2015,5,12,7,6,13,15,7.3,7.3,,,,,,7,NEPAL,,NEPAL:   DOLAKHA,27.809,86.066,60,117,3,,,2800,4,,2,,2,,,117,3,,,2800,4,,2,,2,,,,
10143,,2015,5,30,11,23,11,664,7.8,7.8,,,,,,6,JAPAN,,JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND],27.839,140.493,30,,,,,12,1,,,,,,,,,,,12,1,,,,,,,,
10151,,2015,6,4,23,16,31,10,6,6,,,,,,6,MALAYSIA,,MALAYSIA:  SABAH:  LAHAD,DATU,KANAK,5.987,116.541,170,18,1,,,,2,,1,,,23,1,18,1,,,,2,,1,,,23,1
10153,,2015,6,28,1,5,56,26,5.3,5.3,,,,,,,INDIA,,INDIA:  KOKRAJHAR,26.638,90.41,60,,,,,2,1,,,,,,3,,,,,2,1,,1,,,,3,,
10152,,2015,7,3,1,7,1,10,6.4,6.4,,,,,,,CHINA,,CHINA:  S. XINJIANG:  HOTAN,37.6,78.2,40,3,1,,,263,3,,3,3000,4,,,3,1,,,263,3,,3,3000,4,,,,
10338,,2015,7,3,6,43,54,32,6.1,6.1,,,,,,,PHILIPPINES,,PHILIPPINES:  MINDANAO,10.169,125.891,170,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,
10147,Tsu,2015,7,10,4,12,54,12,6.7,6.7,,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.307,158.403,170,,,,,,,,,,,,,,,,,,,,,,,,,,
