Country or region,Region,Overall rank,Score,Standard Error,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
Finland,Western Europe,1,7.769,0.03411,1.34,1.587,0.986,0.596,0.393,0.153
Denmark,Western Europe,2,7.6,0.04884,1.383,1.573,0.996,0.592,0.41,0.252
Norway,Western Europe,3,7.554,0.03328,1.488,1.582,1.028,0.603,0.341,0.271
Iceland,Western Europe,4,7.494,0.0388,1.38,1.624,1.026,0.591,0.118,0.354
Netherlands,Western Europe,5,7.488,0.03553,1.396,1.522,0.999,0.557,0.298,0.322
Switzerland,Western Europe,6,7.48,0.0314,1.452,1.526,1.052,0.572,0.343,0.263
Sweden,Western Europe,7,7.343,0.02799,1.387,1.487,1.009,0.574,0.373,0.267
New Zealand,Australia and New Zealand,8,7.307,0.03157,1.303,1.557,1.026,0.585,0.38,0.33
Canada,North America,9,7.278,0.03371,1.365,1.505,1.039,0.584,0.308,0.285
Austria,Western Europe,10,7.246,0.04083,1.376,1.475,1.016,0.532,0.226,0.244
Australia,Australia and New Zealand,11,7.228,0.0347,1.372,1.548,1.036,0.557,0.29,0.332
Costa Rica,Latin America and Caribbean,12,7.167,0.04454,1.034,1.441,0.963,0.558,0.093,0.144
Israel,Middle East and Northern Africa,13,7.139,0.03751,1.276,1.455,1.029,0.371,0.082,0.261
Luxembourg,Western Europe,14,7.09,0.04176,1.609,1.479,1.012,0.526,0.316,0.194
United Kingdom,Western Europe,15,7.054,0.03839,1.333,1.538,0.996,0.45,0.278,0.348
Ireland,Western Europe,16,7.021,0.04076,1.499,1.553,0.999,0.516,0.31,0.298
Germany,Western Europe,17,6.985,0.03499,1.373,1.454,0.987,0.495,0.265,0.261
Belgium,Western Europe,18,6.923,0.03676,1.356,1.504,0.986,0.473,0.21,0.16
United States,North America,19,6.892,0.03595,1.433,1.457,0.874,0.454,0.128,0.28
Czech Republic,Central and Eastern Europe,20,6.852,0.03729,1.269,1.487,0.92,0.457,0.036,0.046
United Arab Emirates,Middle East and Northern Africa,21,6.825,0.01866,1.503,1.31,0.825,0.598,0.182,0.262
Malta,Western Europe,22,6.726,0.05335,1.3,1.52,0.999,0.564,0.151,0.375
Mexico,Latin America and Caribbean,23,6.595,0.06476,1.07,1.323,0.861,0.433,0.073,0.074
France,Western Europe,24,6.592,0.0378,1.324,1.472,1.045,0.436,0.183,0.111
Taiwan,Eastern Asia,25,6.446,0.0491,1.368,1.43,0.914,0.351,0.097,0.242
Chile,Latin America and Caribbean,26,6.444,0.01848,1.159,1.369,0.92,0.357,0.056,0.187
Guatemala,Latin America and Caribbean,27,6.436,0.058,0.8,1.269,0.746,0.535,0.078,0.175
Saudi Arabia,Middle East and Northern Africa,28,6.375,0.06257,1.403,1.357,0.795,0.439,0.132,0.08
Qatar,Middle East and Northern Africa,29,6.374,0.03512,1.684,1.313,0.871,0.555,0.167,0.22
Spain,Western Europe,30,6.354,0.04612,1.286,1.484,1.062,0.362,0.079,0.153
Panama,Latin America and Caribbean,31,6.321,0.04168,1.149,1.442,0.91,0.516,0.054,0.109
Brazil,Latin America and Caribbean,32,6.3,0.04539,1.004,1.439,0.802,0.39,0.086,0.099
Uruguay,Latin America and Caribbean,33,6.293,0.05051,1.124,1.465,0.891,0.523,0.15,0.127
Singapore,Southeastern Asia,34,6.262,0.03557,1.572,1.463,1.141,0.556,0.453,0.271
El Salvador,Latin America and Caribbean,35,6.253,0.04633,0.794,1.242,0.789,0.43,0.074,0.093
Italy,Western Europe,36,6.223,0.03468,1.294,1.488,1.039,0.231,0.03,0.158
Bahrain,Middle East and Northern Africa,37,6.199,0.04206,1.362,1.368,0.871,0.536,0.11,0.255
Slovakia,Central and Eastern Europe,38,6.198,0.03868,1.246,1.504,0.881,0.334,0.014,0.121
Poland,Central and Eastern Europe,40,6.182,0.09811,1.206,1.438,0.884,0.483,0.05,0.117
Uzbekistan,Central and Eastern Europe,41,6.174,0.10895,0.745,1.529,0.756,0.631,0.24,0.322
Lithuania,Central and Eastern Europe,42,6.149,0.05618,1.238,1.515,0.818,0.291,0.042,0.043
Colombia,Latin America and Caribbean,43,6.125,0.05224,0.985,1.41,0.841,0.47,0.034,0.099
Slovenia,Central and Eastern Europe,44,6.118,0.04361,1.258,1.523,0.953,0.564,0.057,0.144
Nicaragua,Latin America and Caribbean,45,6.105,0.04267,0.694,1.325,0.835,0.435,0.127,0.2
Kosovo,Central and Eastern Europe,46,6.1,0.03581,0.882,1.232,0.758,0.489,0.006,0.262
Argentina,Latin America and Caribbean,47,6.086,0.04098,1.092,1.432,0.881,0.471,0.05,0.066
Romania,Central and Eastern Europe,48,6.07,0.04528,1.162,1.232,0.825,0.462,0.005,0.083
Cyprus,Western Europe,49,6.046,0.05412,1.263,1.223,1.042,0.406,0.041,0.19
Ecuador,Latin America and Caribbean,50,6.028,0.03914,0.912,1.312,0.868,0.498,0.087,0.126
Kuwait,Middle East and Northern Africa,51,6.021,0.05642,1.5,1.319,0.808,0.493,0.097,0.142
Thailand,Southeastern Asia,52,6.008,0.03799,1.05,1.409,0.828,0.557,0.028,0.359
Latvia,Central and Eastern Europe,53,5.94,0.04563,1.187,1.465,0.812,0.264,0.064,0.075
South Korea,Eastern Asia,54,5.895,0.04114,1.301,1.219,1.036,0.159,0.056,0.175
Estonia,Central and Eastern Europe,55,5.893,0.04251,1.237,1.528,0.874,0.495,0.161,0.103
Jamaica,Latin America and Caribbean,56,5.89,0.03843,0.831,1.478,0.831,0.49,0.028,0.107
Mauritius,Sub-Saharan Africa,57,5.888,0.05371,1.12,1.402,0.798,0.498,0.06,0.215
Japan,Eastern Asia,58,5.886,0.04615,1.327,1.419,1.088,0.445,0.14,0.069
Honduras,Latin America and Caribbean,59,5.86,0.03938,0.642,1.236,0.828,0.507,0.078,0.246
Kazakhstan,Central and Eastern Europe,60,5.809,0.04263,1.173,1.508,0.729,0.41,0.096,0.146
Bolivia,Latin America and Caribbean,61,5.779,0.0433,0.776,1.209,0.706,0.511,0.064,0.137
Hungary,Central and Eastern Europe,62,5.758,0.04394,1.201,1.41,0.828,0.199,0.02,0.081
Paraguay,Latin America and Caribbean,63,5.743,0.07832,0.855,1.475,0.777,0.514,0.08,0.184
Peru,Latin America and Caribbean,65,5.697,0.13693,0.96,1.274,0.854,0.455,0.027,0.083
Portugal,Western Europe,66,5.693,0.05635,1.221,1.431,0.999,0.508,0.025,0.047
Pakistan,Southern Asia,67,5.653,0.0558,0.677,0.886,0.535,0.313,0.098,0.22
Russia,Central and Eastern Europe,68,5.648,0.05099,1.183,1.452,0.726,0.334,0.031,0.082
Philippines,Southeastern Asia,69,5.631,0.05018,0.807,1.293,0.657,0.558,0.107,0.117
Serbia,Central and Eastern Europe,70,5.603,0.04175,1.004,1.383,0.854,0.282,0.039,0.137
Moldova,Central and Eastern Europe,71,5.529,0.07197,0.685,1.328,0.739,0.245,0,0.181
Libya,Middle East and Northern Africa,72,5.525,0.05051,1.044,1.303,0.673,0.416,0.152,0.133
Montenegro,Central and Eastern Europe,73,5.523,0.04013,1.051,1.361,0.871,0.197,0.08,0.142
Tajikistan,Central and Eastern Europe,74,5.467,0.02596,0.493,1.098,0.718,0.389,0.144,0.23
Croatia,Central and Eastern Europe,75,5.432,0.03107,1.155,1.266,0.914,0.296,0.022,0.119
Hong Kong,Eastern Asia,76,5.43,0.03864,1.438,1.277,1.122,0.44,0.287,0.258
Dominican Republic,Latin America and Caribbean,77,5.425,0.03823,1.015,1.401,0.779,0.497,0.101,0.113
Bosnia and Herzegovina,Central and Eastern Europe,78,5.386,0.04192,0.945,1.212,0.845,0.212,0.006,0.263
Turkey,Middle East and Northern Africa,79,5.373,0.03225,1.183,1.36,0.808,0.195,0.106,0.083
Malaysia,Southeastern Asia,80,5.339,0.03363,1.221,1.171,0.828,0.508,0.024,0.26
Belarus,Central and Eastern Europe,81,5.323,0.03726,1.067,1.465,0.789,0.235,0.142,0.094
Greece,Western Europe,82,5.287,0.04524,1.181,1.156,0.999,0.067,0.034,0
