US_Commercial Nuclear Power Reactors - Operating Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,License Number,Location,NRC Region,Licensee,Parent Company Utility Name,Parent Company Website,Parent Company Notes,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,"2018 Capacity Factor
(Percent)","2017 Capacity Factor
(Percent)","2016 Capacity Factor
(Percent)",2015 Capacity Factor (Percent),2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),Years of Operation through 12/31/2019
"Arkansas Nuclear One, Unit 1",ANO 1,5000313,DPR-51,"London, AR (6 MI WNW of Russellville,  AR)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,B&W LLP,BECH,BECH,12/6/1968,5/21/1974,12/19/1974,6/20/2001,5/20/1934,2568,,76%,87%,72%,82%,98%,56%,102%,87%,90%,99%,83%,45
"Arkansas Nuclear One, Unit 2",ANO 2,5000368,NPF-6,"London, AR (6 MI WNW of Russellville,  AR)",4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,,PWR-DRYAMB,CE,BECH,BECH,12/6/1972,9/1/1978,3/26/1980,6/30/2005,7/17/1938,3026,,82%,70%,94%,89%,85%,91%,93%,90%,97%,90%,91%,41
"Beaver Valley Power Station, Unit 1",Beaver Valley 1,5000334,DPR-66,"Shippingport, PA(17 MI W of McCandless,  PA)",1,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,WEST 3LP,S&W,S&W,6/26/1970,7/2/1976,10/1/1976,11/5/2009,1/29/1936,2900,,92%,99%,91%,90%,86%,86%,92%,101%,91%,92%,101%,43
"Beaver Valley Power Station, Unit 2",Beaver Valley 2,5000412,NPF-73,"Shippingport, PA (17 MI W of McCandless,  PA)",1,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,www.firstenergycorp.com,,PWR-DRYAMB,WEST 3LP,S&W,S&W,5/3/1974,8/14/1987,11/17/1987,11/5/2009,5/27/1947,2900,,90%,90%,97%,90%,98%,97%,91%,102%,84%,87%,103%,32
"Braidwood Station, Unit 1",Braidwood 1,5000456,NPF-72,"Braceville, IL (20 MI SSW of Joliet,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,7/2/1987,7/29/1988,1/27/2016,10/17/1946,3645,,93%,98%,90%,93%,103%,95%,91%,101%,89%,95%,101%,32
"Braidwood Station, Unit 2",Braidwood 2,5000457,NPF-77,"Braceville, IL (20 MI SSW of Joliet,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,5/20/1988,10/17/1988,1/27/2016,12/18/1947,3645,,92%,88%,95%,91%,96%,98%,93%,93%,99%,93%,92%,31
"Browns Ferry Nuclear Plant, Unit 1",Browns Ferry 1,5000259,DPR-33,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,5/10/1967,12/20/1973,8/1/1974,5/4/2006,12/20/1933,3952,,82%,97%,83%,94%,90%,94%,88%,91%,86%,94%,88%,46
"Browns Ferry Nuclear Plant, Unit 2",Browns Ferry 2,5000260,DPR-52,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,5/10/1967,6/28/1974,3/1/1975,5/4/2006,6/28/1934,3952,,97%,83%,94%,85%,98%,79%,99%,80%,91%,94%,98%,45
"Browns Ferry Nuclear Plant, Unit 3",Browns Ferry 3,5000296,DPR-68,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,Tennessee Valley Authority ,Tennessee Valley Authority,www.tva.gov,,BWR-MARK 1,GE 4,TVA,TVA,7/31/1968,7/2/1976,3/1/1977,5/4/2006,7/2/1936,3952,,76%,93%,80%,92%,88%,89%,83%,87%,81%,95%,81%,43
"Brunswick Steam Electric Plant, Unit 1",Brunswick 1,5000325,DPR-71,"Southport, NC (20 MI S of Wilmington, NC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,BWR-MARK 1,GE 4,UE&C,BRRT,2/7/1970,9/8/1976,3/18/1977,6/26/2006,9/8/1936,2923,,85%,93%,83%,93%,89%,92%,77%,100%,83%,98%,85%,43
"Brunswick Steam Electric Plant, Unit 2",Brunswick 2,5000324,DPR-62,"Southport, NC (20 MI S of Wilmington, NC)",2,"Duke Energy Progress, LLC",Duke Energy,www.duke-energy.com,,BWR-MARK 1,GE 4,UE&C,BRRT,2/7/1970,12/27/1974,11/3/1975,6/26/2006,12/27/1934,2923,,93%,82%,92%,81%,98%,73%,98%,79%,99%,80%,95%,45
"Byron Station, Unit 1",Byron 1,5000454,NPF-37,"Byron, IL (17 MI SW of Rockford,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,2/14/1985,9/16/1985,11/19/2015,10/31/1944,3645,,94%,89%,97%,88%,97%,96%,88%,88%,101%,94%,95%,34
"Byron Station, Unit 2",Byron 2,5000455,NPF-66,"Byron, IL (17 MI SW of Rockford,  IL)",3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",www.exeloncorp.com,,PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,1/30/1987,8/2/1987,11/19/2015,11/6/1946,3645,,100%,89%,86%,94%,94%,86%,94%,93%,96%,102%,96%,32
Callaway Plant,Callaway,5000483,NPF-30,"Fulton, MO (25 MI ENE of Jefferson City,  MO)",4,Union Electric Co.,AmerenUE,www.ameren.com,Strategic Teaming and Resource Sharing (STARS) group. They share resources for refueling outages and develop some shared licensing applications.,PWR-DRYAMB,WEST 4LP,BECH,DANI,4/16/1976,10/18/1984,12/19/1984,3/6/2015,10/18/1944,3565,,100%,77%,87%,96%,89%,77%,103%,90%,86%,98%,90%,35
